6026,1789618105,2181217,0
5822,1789618789,2090745,0
1289,1789618890,934653,0
3694,1789618946,1187462,0
6003,1789619047,222751,2122184
2260,1789619772,2136214,1379818
2260,1789619773,2136214,2136214
5806,1789620710,1390210,1326344
2080,1789621110,311234,656164
6104,1789622229,1124356,2092900
5085,1789622797,1671571,0
3404,1789623948,2121468,2180825
8437,1789624404,2133408,0
3971,1789628989,1915106,0
3902,1789632641,2127978,0
4516,1789635598,2140134,2124699
2847,1789635827,2090921,0
4910,1789637033,2113999,0
5704,1789637096,2088089,0
6493,1789638302,2181676,2063206
2124,1789638313,1986226,878285
2098,1789638372,2129194,0
4973,1789639150,23046,0
3762,1789639944,2179320,0
2477,1789640534,2090629,0
4738,1789641507,2080999,0
584,1789645347,1674937,0
4509,1789645945,2182267,2183976
5591,1789646714,2184165,0
2521,1789646724,2182398,0
942,1789648680,2136214,1001039
5488,1789650482,795080,991519
1500,1789653372,2181542,949693
4263,1789654372,2101846,0
4659,1789654488,2032066,1589949
5468,1789655423,1833730,0
482,1789655914,1342035,0
8085,1789657230,292351,2141717
8151,1789657334,2133408,2143212
1987,1789657628,1247466,189413
1546,1789658083,2179320,0
6214,1789660196,2133335,0
3101,1789660241,2183201,0
5832,1789660649,219369,0
3326,1789663597,2182145,2179093
1327,1789664301,2083885,0
3195,1789666879,2182836,0
5262,1789668078,2118644,7365
4856,1789668676,2088720,0
5094,1789669459,1571842,0
4573,1789671185,2183051,0
4861,1789671408,164,2183995
7569,1789672566,2183481,0
4449,1789672978,2177144,40585
1279,1789674032,1651308,0
2382,1789674191,384682,0
3333,1789674897,2130145,0
87,1789675352,2084142,2140887
1116,1789676208,331657,0
5997,1789676286,23632,1423677
2251,1789676371,64340,0
611,1789678181,2136708,0
3299,1789679438,2139741,0
411,1789679660,2121468,2088835
1589,1789679814,800543,2103534
5039,1789680125,2126523,0
3876,1789680450,2032066,0
6678,1789680734,1105744,0
5063,1789680953,2027527,0
5378,1789681295,2121326,2070871
2700,1789681432,1961278,0
6912,1789681737,1233516,0
2454,1789682363,2168803,0
1349,1789682833,2121243,1393257
1010,1789682839,1946447,0
456,1789683388,2182034,0
602,1789683581,2125883,2121965
7446,1789683882,2177761,1580549
1505,1789685089,2088835,0
2534,1789685880,2179320,0
677,1789686014,2121468,0
3756,1789687142,2181101,0
4576,1789687655,2080999,0
5582,1789688904,286637,0
3789,1789690991,2032066,0
3109,1789691281,2183491,0
644,1789691883,1745999,2136021
4169,1789692670,1390210,0
4308,1789696265,2133019,0
4830,1789696353,2103338,0
1699,1789696775,1100445,1097438
4362,1789699121,217192,0
3490,1789699294,2182034,0
5250,1789699411,2121850,1659
