2,1,386422
6,2,183253
9,3,171811
15,4,127992
41,8,4238
43,9,3932
13,10,134280
79,11,26
45,12,3688
18,15,93062
16,16,124640
17,17,96918
14,19,131387
1,20,430869
11,21,154404
21,24,50928
32,26,13478
4,28,331200
19,29,82899
22,35,48640
39,41,5328
55,44,1014
69,45,178
3,50,339032
31,52,13747
24,53,45258
28,55,15512
47,59,2186
67,61,314
10,62,167943
50,63,1682
44,65,3714
37,68,7921
23,69,46040
64,74,363
12,75,145708
52,76,1335
25,77,22414
72,78,105
36,79,7973
60,81,510
5,82,188422
51,84,1611
7,85,183189
76,89,60
68,90,182
8,93,175352
61,94,458
34,95,11470
75,96,68
71,101,112
78,102,39
27,105,18975
48,106,2045
33,107,11824
57,110,607
20,111,59095
59,112,515
38,113,5341
70,116,159
54,120,1215
63,124,416
65,126,331
53,128,1315
46,132,3027
81,133,2
56,136,634
49,137,1850
30,139,13798
62,141,455
40,146,4520
80,150,4
74,152,102
42,157,4022
35,162,11187
77,163,40
73,164,105
26,165,19118
66,166,329
29,167,14795
58,168,533
