1446,16,108
1526,156,56
504,164,9163
165,214,28556
803,250,3012
1060,612,953
1059,645,954
1434,760,116
888,786,2059
911,813,1893
352,948,14092
1370,1031,182
437,1488,11171
324,1659,15694
1443,1871,111
239,2115,20879
680,2426,4865
797,2466,3050
1009,2770,1192
453,2869,10650
360,3257,13851
1173,3638,571
758,3904,3642
600,4675,6584
1011,5206,1159
258,5515,19201
1570,5802,38
1404,5961,140
783,6445,3243
201,6593,24100
148,7185,30689
1390,7269,154
749,7365,3754
230,7672,21736
824,8235,2696
203,9148,23931
1176,9312,567
1118,9319,730
1643,10005,10
1233,10174,416
1303,10764,305
1117,10902,730
386,11565,12851
735,11758,3950
272,13447,18456
276,13583,18112
1012,14536,1157
885,15291,2077
802,15527,3022
844,15726,2499
1103,15878,781
866,19450,2292
281,20146,18021
33,20451,72776
1439,20634,112
1447,23046,108
23,23632,84552
443,24249,11004
299,28243,16760
1211,31243,465
710,31891,4291
1093,35585,803
1481,38188,80
707,40585,4375
1535,41007,52
789,49682,3178
714,58485,4227
1193,64340,526
1408,75864,134
855,77817,2381
976,80335,1384
1204,80863,491
689,83966,4664
1429,87568,120
1045,88807,1007
1160,89126,602
1586,89324,28
315,91387,15974
804,93720,2974
1284,97846,337
919,110010,1846
645,114956,5625
1401,115321,141
1384,116702,163
1300,118153,312
1558,119743,42
1497,127625,71
1667,129037,7
218,141108,22882
444,144527,10986
1025,149167,1083
1688,153441,1
1527,153739,56
1525,182449,57
4,183045,150430
293,183902,17305
254,184307,19417
1239,187417,410
1234,189413,416
1205,190983,482
894,191715,2026
715,197846,4197
151,199877,30391
1314,200555,270
960,201700,1481
1676,203514,2
1036,216871,1042
551,217192,7547
267,219202,18709
29,219369,76480
1097,222512,802
26,222751,80830
657,231570,5277
1444,238040,110
152,240304,30346
97,247494,42059
1546,252330,47
1413,253061,130
164,254189,28600
135,254547,33645
564,255924,7264
1363,256280,195
638,258443,5769
1623,262910,16
332,265281,15144
1426,266826,121
1054,267903,968
698,271851,4545
66,278359,54551
1417,280765,127
344,285536,14545
1016,285930,1132
275,286637,18138
6,287776,139378
348,292351,14342
1483,294778,79
1354,295493,206
760,301195,3594
117,301920,37161
1425,302869,121
1578,304119,30
14,311234,95844
321,316717,15874
42,321281,68482
1128,331657,690
329,349480,15306
975,352604,1387
968,355278,1425
597,362199,6647
1183,372729,542
678,380208,4968
368,380925,13553
807,384682,2947
337,389146,14924
1504,403419,67
1458,409584,98
1298,409970,314
538,412476,8006
950,414455,1573
341,432074,14710
900,433392,1960
762,433818,3573
947,460649,1576
815,477281,2837
523,486017,8521
682,486339,4798
1029,488498,1073
1196,492721,516
1007,495300,1206
1559,499950,42
484,531777,9786
498,542783,9313
969,546791,1424
575,550454,7092
1360,554260,197
1553,561343,44
131,562305,35318
466,570723,10292
115,572281,37955
88,572504,45483
459,577826,10454
479,590756,9936
157,656147,29406
205,656164,23908
1547,663520,47
395,666419,12466
77,669607,49893
1034,684733,1065
593,689953,6747
1644,697480,10
1048,701464,998
1334,709099,234
535,719468,8106
1115,740471,740
243,741002,20603
559,743605,7388
1127,747111,690
1636,748151,12
981,769012,1357
282,769552,17934
236,776487,21039
452,779531,10675
1422,781658,124
1476,783798,86
251,784340,19662
608,786529,6372
506,789512,9045
38,795080,69778
17,800543,89980
599,804111,6598
1114,817959,746
1414,818654,130
591,819429,6805
1309,826503,280
847,828995,2438
1010,829690,1162
256,835134,19270
1478,837378,83
1385,843253,157
1677,845612,2
941,860318,1614
488,862424,9712
111,862456,38283
143,865857,32004
832,866900,2592
688,878285,4683
889,879328,2057
646,883040,5603
41,888810,69060
24,891173,84282
1043,896073,1012
914,902339,1864
858,907588,2374
1477,908754,85
1410,911726,132
462,912352,10374
1014,912799,1144
540,913250,7776
766,925391,3552
1640,926570,11
223,934653,22530
956,945125,1529
627,945659,5985
986,946962,1335
530,949693,8215
1092,951401,808
779,952827,3290
1564,953649,39
1536,965211,52
19,967045,89043
1537,975086,52
385,975475,12854
470,978034,10275
1122,985782,722
755,986252,3693
1491,987723,76
221,991519,22700
747,992825,3767
1560,997469,42
1053,999986,969
168,1001039,28430
1177,1006563,563
642,1007629,5671
1466,1009265,91
978,1011913,1376
260,1019205,19004
1343,1021247,221
393,1022419,12565
833,1023259,2590
617,1024499,6277
1035,1036162,1052
1563,1037239,40
391,1039689,12679
910,1040712,1898
1194,1041417,524
1033,1043263,1066
325,1043323,15601
1015,1043943,1144
773,1045898,3426
671,1047744,5125
916,1051979,1859
467,1052122,10291
1004,1066559,1224
1587,1073867,28
1433,1075536,117
856,1078293,2380
1144,1082316,637
1175,1084230,568
1162,1085503,593
1243,1096810,402
587,1097179,6846
161,1097438,28978
7,1100445,139312
1467,1105744,91
1621,1107872,17
1164,1108466,586
250,1124356,19696
1136,1126755,668
842,1130513,2511
1436,1137797,114
696,1146818,4572
843,1148395,2504
659,1156608,5258
49,1156788,61885
699,1165711,4499
868,1166358,2281
127,1169034,35904
1464,1172964,93
237,1173630,20937
179,1174348,27027
768,1182358,3504
376,1184145,13230
1021,1186212,1103
1071,1187462,907
180,1203157,26684
1694,1216380,0
