353,16,90
288,164,288
387,214,40
302,813,225
456,3904,4
273,6210,392
139,6593,2629
221,9148,918
101,11565,4560
191,11758,1450
92,13447,5451
328,15527,147
336,20146,130
83,20451,6285
26,23632,19001
338,28243,116
354,31891,90
427,35585,12
332,75864,134
457,80335,4
411,80863,21
90,91387,5465
383,114956,41
132,141108,2851
203,144527,1176
442,149167,8
420,183045,15
289,183902,284
189,184307,1460
321,187417,166
210,217192,1059
324,219202,154
167,219369,1855
259,222751,467
145,231570,2425
443,240304,8
371,247494,55
15,254189,24272
39,254547,16310
312,267903,188
93,278359,5354
249,285536,547
30,286637,17643
62,287776,9915
215,301920,940
458,311234,4
412,321281,20
444,355278,8
372,372729,52
388,384682,40
297,550454,233
472,554260,1
170,577826,1787
225,590756,874
459,656147,4
69,656164,8248
209,669607,1095
452,689953,5
224,741002,901
307,769552,215
453,776487,5
137,779531,2645
410,789512,23
239,795080,637
296,800543,234
287,804111,308
299,819429,228
401,862424,28
65,862456,9249
396,865857,38
460,866900,4
13,888810,25665
12,891173,28241
445,908754,8
334,911726,132
89,912352,5763
115,934653,3500
116,992825,3495
300,1001039,228
135,1007629,2779
473,1023259,1
323,1036162,162
389,1037239,40
446,1039689,8
178,1052122,1647
271,1096810,400
343,1097179,107
125,1100445,3169
133,1124356,2787
301,1126755,226
138,1156788,2633
240,1165711,628
23,1169034,20228
81,1173630,6543
77,1174348,6906
129,1182358,2968
436,1186212,9
415,1203157,19
230,1231327,805
205,1233516,1130
27,1271321,18946
55,1320170,10904
25,1323047,19178
156,1326344,2055
29,1342035,17902
188,1344475,1471
57,1344786,10666
285,1369805,325
109,1370083,4158
390,1379818,40
437,1385666,9
121,1390210,3206
17,1406307,22006
232,1419758,765
250,1423677,538
364,1459338,72
199,1474095,1256
204,1479932,1160
311,1485683,201
375,1498879,48
333,1510598,134
117,1519293,3462
28,1535952,18762
264,1543507,441
95,1545062,5222
376,1546340,48
71,1549572,7527
305,1549959,220
158,1551180,1989
382,1553074,43
168,1556649,1851
32,1563523,17156
245,1566793,585
114,1571842,3742
275,1573548,384
16,1577451,23661
126,1580481,3078
76,1586763,7235
34,1587053,16843
54,1594692,10989
417,1595726,18
37,1598893,16641
99,1608799,4635
9,1609139,29084
235,1611365,739
366,1615111,61
279,1617970,336
406,1625326,25
234,1650928,747
20,1651308,21227
254,1652831,511
123,1653036,3183
212,1663439,1026
474,1666646,1
119,1671571,3304
103,1673222,4356
51,1678679,11534
1,1682674,53311
102,1683698,4360
58,1684263,10614
319,1691132,171
143,1696634,2454
391,1703257,40
84,1714244,6145
470,1721928,2
471,1723176,2
38,1731373,16337
475,1734443,1
377,1736828,48
42,1745999,15560
151,1747072,2285
192,1752476,1438
392,1762371,40
326,1762817,150
106,1764827,4231
44,1783692,14802
88,1784555,5832
48,1786798,13209
7,1791810,31533
6,1793379,33991
418,1796437,18
269,1796981,409
11,1810435,28794
74,1820940,7394
46,1824034,13985
40,1825930,16290
278,1826108,345
379,1833730,45
381,1836199,44
146,1851914,2392
223,1860047,909
416,1863997,19
206,1875804,1121
242,1887375,608
402,1891510,28
73,1894143,7445
450,1898371,7
47,1905015,13972
407,1907385,25
45,1912482,14791
50,1921999,11998
413,1934829,20
49,1935738,12506
284,1941136,329
447,1945137,8
398,1947487,33
217,1951772,927
107,1958874,4214
476,1959014,1
339,1961278,115
150,1964000,2320
461,1967572,4
113,1968000,3876
454,1970276,5
64,1979816,9397
448,1980096,8
422,1985704,14
429,1985825,10
327,1986226,150
19,1989499,21372
403,1989749,28
214,1992450,976
424,1993578,13
349,1994026,96
97,1994814,4776
91,1997833,5459
298,2002238,232
181,2003676,1570
344,2005788,104
260,2007265,464
315,2009697,175
430,2011559,10
86,2014236,5929
257,2018016,492
266,2018579,430
166,2021767,1870
79,2023202,6756
96,2025956,4990
21,2027527,20981
451,2031095,7
134,2032066,2780
213,2042685,982
438,2044485,9
313,2045489,180
24,2049063,19417
337,2052081,130
286,2054225,311
355,2054684,84
160,2056203,1959
61,2057638,10047
369,2057827,58
399,2058154,32
281,2058565,332
154,2058795,2099
455,2059063,5
229,2062192,824
378,2062753,47
195,2065272,1337
263,2068769,442
177,2070871,1650
248,2071214,548
87,2073585,5902
176,2077500,1654
216,2078276,938
439,2078998,9
85,2080309,6132
408,2080999,25
218,2083024,927
162,2083091,1937
384,2083885,41
22,2084142,20940
5,2085554,34843
322,2085697,166
157,2085977,2035
393,2087044,40
294,2087974,235
